Action taken,Cause,"City, County",Emissions estimation method,Event began,Event ended,Physical location,Regulated entity RN number,Regulated entity name,This is based on the,Type(s) of air emissions event,report_id
"Emissions will be controlled as required by our Startup, Shutdown, Malfunction Plan.",Shutdown due to Hurricane Harvey,"TEXAS CITY, GALVESTON",Emissions were calculated based on engineering estimates and CEMS data.,08/29/2017 5:00AM,09/12/2017 5:00AM,,RN100210608,MARATHON PETROLEUM TEXAS CITY REFINERY,INITIAL REPORT,AIR SHUTDOWN,266376
"Shutdown activities will be performed per appropriate shutdown procedures and the duration of the event will be minimized to the extent possible. To minimize emissions, the LOU will be brought down in a safe and controlled manner. Excess emissions generated will be routed to the LOU Flare for destruction.","Flint Hills Resources Port Arthur, LLC (FHR) facility will begin shutting down operations of its process units, on August 29, 2017, due to impacts from Tropical Storm Harvey. Emissions during the shutdown event will be routed to the Light Olefins Unit (LOU) Flare for destruction.","PORT ARTHUR, JEFFERSON","Emissions are based on engineering estimates and judgment, stream speciation, estimated duration, and engineering calculations. All amounts released listed in this report are preliminary estimates of the potential emissions based on current available information. These estimates may or may not be indicative of the actual amounts or compounds released. It is likely that better emissions estimates will be provided in the Final State of Texas Environmental Electronic Reporting System (STEERS) Report. The dates/times given in this report are only estimates. The duration of this shutdown event may vary significantly from this estimate. The actual shutdown event duration will be provided in the Final STEERS Report. This notification is not being filed more than 10 days prior to the planned shutdown activity, however FHR is filing the notice as soon as practicable, in accordance with 30 TAC §101.211(a).",08/29/2017 11:50AM,09/01/2017 11:50AM,SAVANNAH AVENUE AT GATE 24,RN100217389,FLINT HILLS RESOURCES PORT ARTHUR FACILITY,INITIAL REPORT,AIR SHUTDOWN,266378
FLARING IS BEING USED TO MINIMIZE EMISSIONS UNTIL DCP IS ABLE TO REPAIR THEIR EQUIPMENT AND RETURN THE PLANT TO NORMAL OPERATION,DCP LINE REPAIR,"SEMINOLE, GAINES","Gas analysis and flowrate were used to estimate emissions based on the following formulas: Emissions Calculations: NOx = MCF flared x NOx factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU CO = MCF flared x CO factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU Gas was flared to reduce the hydrocarbon and/or H2S emissions to the atmosphere. NMNE NG = MCF flared x 50 lb/mole x mole/.379 MCF x mol % NMNE NG x 0.02 NMNE NG % = 100% - Methane % - Ethane % - Carbon Dioxide % - Nitrogen % H2S = MCF flared x 34 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.02 SO2 = MCF flared x 64 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.98 Attachment A - Rule Compliance Demonstration Request This information request was extracted from TCEQ Rule 101 .222(a-b) regarding demonstration criteria. These responses should be addressed under the appropriate sections of the final report for the incident eg; Cause of Emissions Event, Actions Taken to Minimize Emissions, and Any Additional Information Necessary to Evaluate the Event. (1) How many reportable and recordable emissions events (including this incident) have occurred at the facility/facilities contributing emissions during this incident for the 12 month period prior to this incident? ~5 (2) What were the facility/facilities total actual operating hours during the past 12 months? 8760 (3) Identify the cause or causes of the emissions event and include all contributing factors that led to the emissions event. Discuss how the emissions event could not have been avoided by good design, maintenance, and operation practices, if applicable. Discuss any sudden breakdown of equipment or process that was beyond the owner/operator’s control, if applicable. DCP LINE REPAIR. FLARING USED TO MINIMIZE EMISSIONS UNTIL DCP IS ABLE TO REPAIR THEIR EQUIPMENT AND RETURN THE PLANT TO NORMAL OPERATION. (4) How were the air pollution control equipment or processes (if any) maintained and operated in a manner consistent with good practice for minimizing emissions and reducing the number of emissions events? Flaring was used to minimize emissions. Flares were properly operated. (5) How soon was action taken to achieve compliance once the operator knew or should have known that applicable emission limitations were being exceeded? Once the control panel shut the compressor down gas was immediately routed to the flare (6) How were the amount and duration of the unauthorized emissions and any bypass of pollution control equipment minimized? Emissions were minimized by use of a flare. The flare is the control device, functioned properly, and there was no pollution control equipment bypass. (7) What was the operational status of all emission monitoring systems at the facility/facilities during this emissions event? If any emission monitoring systems were not kept in operation during the emissions event, explain why they weren’t kept in operation. No monitoring systems are required for this site. Field gas production from this site was diverted to the flare and the flare remained ignited until the pressures dropped below the rated pressures for the equipment at this site. (8) How were the owner or operator’s actions in response to the unauthorized emissions contemporaneously documented? The TCEQ STEERS reporting system was used to provide initial notice of the event. The em ission e stimates were calculated by use of the gas flow rate and gas analysis. (9) Have other similar inciden ts o ccur",08/28/2017 3:30PM,08/31/2017 3:30PM,FROM SEMINOLE HEAD W ON US 180 W TOWARDS N MAIN ST 0.7 MI TURN L ONTO NW 11TH ST 0.7 MI TURN R ONTO RANCH RD 181 6.9 MI TURN R ONTO CR 311 0.5 MI LOCATION ON THE RIGHT,RN106889355,ROBERTSON CLEARFORK UNIT SAT 274,FINAL REPORT,EMISSIONS EVENT,266380
This pipeline shutdown will last for 2 days. Operations has already had producers shut in some gas to minimize amount being flared. All material is going to flare. Field gas was shut in significantly to help minimize emissions.,"Keystone plant is taking low pressure field gas that is usually sent to the Jal Plant due to the Jal booster discharge line being down for maintenance. During this amount of gas coming in, none of the low pressure units can be operated. Operations has already had producers shut in some gas to minimize amount being flared.","KERMIT, WINKLER","A representative gas analysis and an estimated flared gas volume for the event was used to calculate emissions. The unauthorized emissions did not stem from any activity or event that could have been forseen and avoided, and could not have been avoided by better design operation and maintenance practices. The air pollution control equipment and processes were maintained and operated in a manner consistent with good practice for minimizing emissions and reducing the number of emission events. Actions in response to the unauthorized emission are documented on operating and flare logs. There was no offsite impact. No exceedance of the NAAQS, PSD increments or cause a condition of air pollution. SAMPLE EMISSION CALCULATIONS - FLARE (for example purposes only, not linked to actual data fields) NO2 EMISSIONS: 124.74 Mscf gas 1000 scf gas 915.5 Btu 0.0641 lb NOx/MM Btu 100% NO2 = 7.32 lb/day NO2 day Mscf gas scf gas 1.0 E+6 Btu/MM Btu NO EMISSIONS: 124.74 Mscf gas 1000 scf gas 915.5 Btu 0.0641 lb NOx/MM Btu 100% NO = 7.32 lb/day NO day Mscf gas scf gas 1.0 E+6 Btu/MM Btu CO EMISSIONS: 124.74 Mscf gas 1000 scf gas 915.5 Btu 0.5496 lb CO/MM Btu = 62.8 lb/day CO day Mscf gas scf gas 1.0 E+6 Btu/MM Btu NATURAL GAS EMISSIONS: 124.74 Mscf gas 1000 scf gas lb-mol 16.91 lb 2.0% uncombusted 1.0% VOCs = 1.11 lb/day NG day Mscf gas lb-mol 100% SO2 EMISSIONS: 5 lbmol SO2 1 lbmol gas 124.74 Mscf gas 1000 scf 64.06 lb SO2 = 0.105 lb/day SO2 1.0 E+6 lbmol gas 379.5 scf day Mscf lbmol SO2 H2S EMISSIONS: 5 lbmol H2S 1 lbmol gas 124.74 Mscf gas 1000 scf 34.08 lb SO2 2.0% uncombusted = 0.001 lb/day H2S 1.0 E+6 lbmol gas 379.5 scf day Mscf lbmol SO2 100%",08/28/2017 6:50PM,08/31/2017 2:05AM,FR JUNCTION OF HWY 18 & 302 IN KERMIT GO N ON HWY 18 FOR 4.3 MI TO JUNCTION WITH FM 874 GO E ON FM 874 FOR 4.5 MI TO JUNCTION WITH FM 1218 GO N ON FM 1218 FOR 0.5 MI TO JUNCTION OF CR 301 GO E ON CR 301 TO FACILITY ON LEFT,RN100238633,KEYSTONE GAS PLANT,FINAL REPORT,EMISSIONS EVENT,266381
A water cap was applied to minimize emissions while the tank pressure was lowered to create a slight vacuum on the vessel. A nitrogen purge was applied to the valve to prevent oxygen entrainment while the vessel was under slight vacuum.,The release was caused by a relief valve malfunction on the V-10 tank. This emissions event occurred during the landfall of Hurricane Harvey. The root cause investigation of this event is pending at this time.,"FREEPORT, BRAZORIA",Engineering calculations were used to determine quantities. There were no off-site impacts.,08/28/2017 1:30PM,08/28/2017 4:00PM,,RN108772245,BLUE CUBE OPERATIONS FREEPORT,FINAL REPORT,EMISSIONS EVENT,266382
WE HAD A FLARE IN PLACE TO BURN OUR GAS TO MINIMIZE THE VOC AND H2S EMISSIONS.,*****Not TCEQ reportable due to the duration-----FLARING WAS DUE TO HIGH O2 CONTENT.,"WELCH, DAWSON","Emissions Calculations: NOx = MCF flared x NOx factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU CO = MCF flared x CO factor from RG-109 x BTU/scf x 1000 scf/MCF x MMBTU/1000000 BTU Gas was flared to reduce the hydrocarbon and/or H2S emissions to the atmosphere. NMNE NG = MCF flared x 50 lb/mole x mole/.379 MCF x mol % NMNE NG x 0.02 NMNE NG % = 100% - Methane % - Ethane % - Carbon Dioxide % - Nitrogen % H2S = MCF flared x 34 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.02 SO2 = MCF flared x 64 lb/mole x mole/.379 MCF x mol % H2S/100 x 0.98 Total Vol Flared (MCF): 12 Volume is: Metered % H2S: 5.853 BTU / Cu Ft: 1,506.30 % NMNE: 21.93",08/29/2017 11:40AM,08/29/2017 3:30PM,APPROX 1.8 MI SW OF WELCH,RN102185287,WEST WELCH UNIT TRACT 52,FINAL REPORT,EMISSIONS EVENT,266396
This complaint has been assigned and will be further investigated by an Environmental Investigator.,The TCEQ Tyler Region received a complaint which alleged that sediment was in the water line and that the water had a sewer smell. The water was provided by a public water supply in Bowie County.,"NEW BOSTON, BOWIE",More information will be available upon approval of the investigation report.,07/14/2017,07/19/2017,LOCATED ON N SIDE OF SH 82 0.5 MI W OF IH 30 NEAR NEW BOSTON IN BOWIE CO,RN101389153,CENTRAL BOWIE COUNTY WSC,INITIAL REPORT,,266401
This complaint has been assigned and will be further investigated by an Environmental Investigator.,"On August 4, 2017, the Texas Commission on Environmental Quality (TCEQ) Tyler Region Office received a complaint from a concerned citizen in Cherokee County. The complaint was in regards to the drinking water quality. The complaint is identified as Incident No. 266406.",", CHEROKEE",More information will be available upon approval of the investigation report.,08/29/2017,08/29/2017,LOCATED AT US 69 AND FM 177 IN CHEROKEE CO,RN101458727,NORTH CHEROKEE WSC,INITIAL REPORT,,266406
,"Due to Tropical Storm Harvey 13.65"" of rain and very strong winds. WWTP lost power causing pumps to fail pumping sewage to plant. Manhole at head of plant overflowed.","NIXON, GONZALES",,08/26/2017 11:45AM,08/27/2017 11:25AM,1.5 MILES NORTH OF THE INTERSECTION OF US HWY 87 AND STATE HIGHWAY 80 ON THE SOUTH BANK OF THE CLEAR FORK OF THE SANDIES CREEK NORTH OF THE CITY OF NIXON IN GONZALES COUNTY,RN102181781,CITY OF NIXON WWTP,FINAL REPORT,WASTEWATER BYPASS,266410
,"Due to Tropical Storm Harvey (13.65"" of rain), manhole on S. Roosevelt overflowed with rainwater and diluted sewage. Disinfected area with HTH.","NIXON, GONZALES",,08/26/2017 8:00AM,08/27/2017 5:00PM,1.5 MILES NORTH OF THE INTERSECTION OF US HWY 87 AND STATE HIGHWAY 80 ON THE SOUTH BANK OF THE CLEAR FORK OF THE SANDIES CREEK NORTH OF THE CITY OF NIXON IN GONZALES COUNTY,RN102181781,CITY OF NIXON WWTP,FINAL REPORT,WASTEWATER BYPASS,266412
,"Due to Tropical Storm Harvey, lost power at lift station causing rainwater along with sewage to discharge from manhole at lift station. Lift station is loated on S Parker Ave., Discharged into ditch. Disinfected with HTH.","NIXON, GONZALES",,08/26/2017 5:23PM,08/28/2017 11:30AM,1.5 MILES NORTH OF THE INTERSECTION OF US HWY 87 AND STATE HIGHWAY 80 ON THE SOUTH BANK OF THE CLEAR FORK OF THE SANDIES CREEK NORTH OF THE CITY OF NIXON IN GONZALES COUNTY,RN102181781,CITY OF NIXON WWTP,FINAL REPORT,WASTEWATER BYPASS,266414
,Main/sewer line break at end of Cat Tail Lane. Flow was east into lake.,"SAN ANGELO, TOM GREEN",,08/19/2017 5:50PM,08/19/2017 6:00PM,"CO RD 1 MI NNE FM 380, 3 MI NE OF CITY",RN102296654,WASTE WATER TREATMENT PLT,FINAL REPORT,WASTEWATER BYPASS,266415
"The activities will be conducted as per normal unit hurricane startup procedures and consistent with safety and good air pollution control practices to the extent possible. Activities will be documented in the operation logs as a record for the activity. The authorized emissions listed in this submittal are the emissions associated with activities that are currently authorized under FHR’s Flexible Permit 6308 Maintenance, Startup and Shutdown Special Conditions.","Flint Hills Resources Corpus Christi, LLC (“FHR”) is planning the restart of the East Refinery operating units after shut down in preparation for Hurricane Harvey in an effort to eventually restore fuel production. The restart may commence as early as 6:00 PM on August 29, 2017, but may not occur until August 30, 2017. The planned startup will be conducted in a sequenced manner to safely restore operability. Until the Refinery has produced sufficient inventory for the operation of the Flare Gas Recovery Unit (“FGRU”) and the FGRU is able to provide sufficient fuel gas to combustion sources, flaring will occur from the 36"" flare during the commissioning activities. The East Plant Sulfur Recovery Units (“SRU’s”) No. 1 and No. 2 will also be restarted after shutdown in preparation for Hurricane Harvey. The potential emissions from the SRU’s No. 1 and No. 2 will be associated with the bypass of the Tail Gas Treating Unit, which will result in tail gas being routed directly to the Tail Gas Incinerator (“TGI”). The dates, times, pollutants and their associated emissions given in this report are only estimates. The duration of the actual event and these details may vary significantly from this estimate. We will provide actual event details in our final report.","CORPUS CHRISTI, NUECES",Past events were used to estimate emissions for the startup flaring. Flare gas composition is based on a weighted average between normal baseline flare load and the expected worst-case flow rate into the flare system. Destruction efficiencies and flare factors are from the “July 1996 TCEQ Technical Guidance Package for Flare Sources”. Past events were used to estimate emissions for the SRU’s No. 1 and No. 2. The emissions estimate is based on a flow estimate calculated from inputs into the unit and corrected for chemical reaction. This flow was used in conjunction with historical SO2 concentration data gathered by the Continuous Emissions Monitoring System (CEMS) on the TGI stack to calculate SO2 emissions. All emissions included in this report are an estimate of the maximum emissions and may or may not be indicative of the actual amounts released. FHR likely will have better estimates when it files the final report.,08/29/2017 6:00PM,09/06/2017 6:00PM,,RN102534138,FLINT HILLS RESOURCES EAST REFINERY,INITIAL REPORT,AIR STARTUP,266416
The pipeline was down for needed repairs and field gas was shutin significantly while the line is down for repairs to help minimize emissions. All gas is being flared at the Emporer Booster.,Field gas is being flared due to the Jal booster discharge line being shutin for repairs. This caused the compressors to shut in and go to flare. Low pressure units can not run with the high volumes. Producers were asked to shut in to help minimize flaring.,"KERMIT, WINKLER","A representative gas analysis and an estimated flared gas volume for the event was used to calculate emissions. The unauthorized emissions did not stem from any activity or event that could have been foreseen and avoided, and could not have been avoided by better design operation and maintenance practices. The air pollution control equipment and processes were maintained and operated in a manner consistent with good practice for minimizing emissions and reducing the number of emission events. Actions in response to the unauthorized emission are documented on operating and flare logs. There was no offsite impact. No exceedance of the NAAQS, PSD increments or cause a condition of air pollution. SAMPLE EMISSION CALCULATIONS - FLARE (for example purposes only, not linked to actual data fields) NO2 EMISSIONS: 124.74 Mscf gas 1000 scf gas 915.5 Btu 0.0641 lb NOx/MM Btu 100% NO2 = 7.32 lb/day NO2 day Mscf gas scf gas 1.0 E+6 Btu/MM Btu NO EMISSIONS: 124.74 Mscf gas 1000 scf gas 915.5 Btu 0.0641 lb NOx/MM Btu 100% NO = 7.32 lb/day NO day Mscf gas scf gas 1.0 E+6 Btu/MM Btu CO EMISSIONS: 124.74 Mscf gas 1000 scf gas 915.5 Btu 0.5496 lb CO/MM Btu = 62.8 lb/day CO day Mscf gas scf gas 1.0 E+6 Btu/MM Btu NATURAL GAS EMISSIONS: 124.74 Mscf gas 1000 scf gas lb-mol 16.91 lb 2.0% uncombusted 1.0% VOCs = 1.11 lb/day NG day Mscf gas lb-mol 100% SO2 EMISSIONS: 5 lbmol SO2 1 lbmol gas 124.74 Mscf gas 1000 scf 64.06 lb SO2 = 0.105 lb/day SO2 1.0 E+6 lbmol gas 379.5 scf day Mscf lbmol SO2 H2S EMISSIONS: 5 lbmol H2S 1 lbmol gas 124.74 Mscf gas 1000 scf 34.08 lb SO2 2.0% uncombusted = 0.001 lb/day H2S 1.0 E+6 lbmol gas 379.5 scf day Mscf lbmol SO2 100%",08/28/2017 11:00PM,08/30/2017 12:10PM,4.3 MI N ON SH 18 4.5 MI E ON FM 874 1.0 MI N ON FM 1218 SITE ENTRANCE ON THE LEFT SIDE OF RD,RN103952925,EMPEROR COMPRESSOR STATION,FINAL REPORT,EMISSIONS EVENT,266422
The units were stabilized as safely and quickly as possible.,Brief power supply interruption during the Hurricane Harvey storm resulting in flaring and venting. The only emissions after 8/29/17 05:00 were venting at the Methanol Flare due to equipment purging. The other three emission sources ended by 8/29 5:00 AM.,"CHANNELVIEW, HARRIS","Engineering Estimates. Even though the emission points have authorized limits greater than zero, since this event unauthorized, an emission limit of 0 lb/hr is assumed.",08/28/2017 9:15PM,08/30/2017 4:00AM,APPROX 1 MI N OF SHELDON RD & WALLSVILLE RD INTXN KEY MAP - 458K,RN100542281,EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,FINAL REPORT,EMISSIONS EVENT,266423
Reactor venting reduced after safe to do so.,Steam supply interruption as a result of conditions created by Hurricane Harvey,"MONT BELVIEU, CHAMBERS",Visual observations of opacity utilized for this report at this time.,08/28/2017 5:57PM,08/28/2017 6:03PM,,RN102501020,EXXONMOBIL CHEMICAL MONT BELVIEU PLASTICS PLANT,INITIAL REPORT,EXCESS OPACITY,266424
"The 3/4"" bleed line was isolated (Valve was closed) at 6:00 pm. This prevented further release of gas to the atmosphere. The volume of gas released as a result of the flare outage was 24 MCF, which correlates to 428 Pound of VOC. This was not a reportable event, because it did not exceed 5000 ponds.","In preparation for hurricane Harvey, two pressurized NGL bullet tanks valve, tied to the flare via a 3/4"" bleed line, was partially opened to keep the flare lit and also to prevent a backflow of oxygen into the flare system, creating a potential, explosive atmosphere. In the midst of the Hurricane Harvey event on 8-27-2017 @ 2:00 pm. The flare was out due to strong winds and rain. The volume of gas released as a result of the flare outage was 24 MCF, which correlates to 428 Pound of VOC. This was not a reportable event, because it did not exceed 5000 ponds.","WHITSETT, LIVE OAK","Flow calculator, gas analysis, duration and pressure on unit. The volume of gas released as a result of the flare outage was 24 MCF, which correlates to 428 Pound of VOC. This was not a reportable event, because it did not exceed 5000 ponds.",08/27/2017 2:00PM,08/27/2017 6:00PM,FROM THE INTERSECTION OF FM 99 AND US ALT S IN WHITSETT GO NE ON FM 99 AND TRAVEL 4.9 MI CONTINUE ON FM 1091 AND GO 2 MI CONTINUE ON CR 245 AND GO 5.6 MI TURN L ON FM 882 AND GO 5.4 MI TURN R ON UNKOWN RD AND GO 0.2 MI TO THE SITE ON R,RN106241391,SUGARLOAF STABILIZATION FACILITY,FINAL REPORT,EMISSIONS EVENT,266425
Operations responded immediately to correct the situation. Normal operating conditions were expeditiously stabilized.,Upset occurred as a result of a pressure increase caused by upstream instability. This pressure variation activated the relief valve.,"FREER, DUVAL","Engineering calculations and process knowledge. By inputing the calculated 12,858 mcf gas loss and Mol% from a representative speciated gas analysis with a heating value of 1216. Mol%>> N2 0.14450, CO2 0.79210, Methane 81.51300, Ethane 10.71790 Propane 3.94980, Iso-Butane 0.95690, N-Butane 1.07500, Iso-Pentane 0.35800, N-Pentane 0.23220, Hexanes 0.120",08/29/2017 2:14AM,08/29/2017 5:20AM,FROM INTX OF HWY 59 & HWY 44 TAKE HWY 44 & GO SE 8.8 MI TURN L ON DIRT RD & GO ~1 MI TO SITE,RN105992952,BIG COWBOY COMPRESSOR STATION,INITIAL REPORT,EMISSIONS EVENT,266426
Proper planning and execution was used to minimize the duration and volume of emissions released during the maintenance activities. The heat soak took only 10 hours to complete. Prior planning eliminated the need for any flaring.,The hurricane/tropical storm Harvey prevented the plant from shipping NGL to the gulf coast. The plant used this opportunity to conduct a heat soak of the SRU instead of next year.,"ANDREWS, ANDREWS",TGI: CEMS data,08/30/2017 12:01AM,09/02/2017 8:01PM,FROM INTXN BROADWAY ST & US 385 IN ANDREWS GO 1.1 MI SW ON BROADWAY ST TO A FORK WITH SR 176 GO R ON SR 176 & GO 12.5 MI TO RR 181 TURN N & GO 5.1 MI ON RR 181 TO RD ON L TURN W & GO 0.5 MI TO RD ON R TURN & GO 100 YDS TO SITE ON L,RN100218684,FULLERTON GAS PLANT,FINAL REPORT,MAINTENANCE,266427
The cryogenic process was warmed up as much as possible while still meeting residue sales specification such that as much inlet gas as possible could be processed. Inlet gas will be shut in as quickly as safely possible to reduce flared volumes.,"The Buffalo Gas Plant received a curtailment of NGL sales from 1250 barrels per hour to 520 barrels per hour of NGL product. The curtailment was received due to fractionator plants being shut down in Houston due to Hurricane Harvey. This resulted in the inability to process all the inlet gas currently being directed to the plant. This routed inlet gas to the inlet flare, FLARE-1, to protect gathering system from being over pressured.","STANTON, MARTIN","Step 1: For each gas component, calculate Net Molecular Weight (MW): Net MW (lb/lb-mole) =Mole % of Component/100 x MW of Component Example using propane: Net MW = 8.7522/100 x 44.10 lb/lb-mole = 3.86 lb/lb-mole Step 2: Calculate the Mass of Each Gas Component Emitted Mass of Component = (Net MW of Component/Molar Volume) x Volume Emitted Molar Volume = 379.5 scf/lb-mole Volume Emitted = Recorded Data From Flow Meter Or Calculated in the Case of Pipeline Releases as Follows: Cross-Sectional Area x Length x (Pipeline Pressure + Atmospheric Pressure)/Atmospheric Pressure Example using propane and recorded data: Volume emitted = 572,000 scf Mass of Propane Emitted = (3.86 lb/lb-mole)/(379.5 scf/lb-mole) x 572,000 scf = 5,818 lb Example using propane and calculated area: Pipe Diameter,d = 12 inches Pipe Length, l = 165,470 feet Pipe Pressure, ppipe = 50 psig Atmospheric Pressure, patmos = 14.70 psia Volume = (Pi)(d2/4)(l)(( ppipe + patmos)/ patmos) = (3.141592)((12/12)^2/4))(165,470)((50 + 14.7)/14.7) = 572,000 scf Mass of Propane Emitted = (3.86 lb/lb-mole)/(379.5 scf/lb-mole) x 572,000 scf = 5,818 lb For venting episodes, this calculation is repeated for each gas component and the mass emission rate is transferred automatically to the U/M Form. Proceed to Step 3 for flaring episodes. Step 3: For flaring episodes, 98 percent destruction efficiency is used for Calculation of VOC emissions. Products of combustion are calculated in Steps 4 and 5. Example using propane: Mass of Propane Emitted = (1 - 0.98)(5,818 lb) = 116.36 lb This calculation is repeated for each gas component and the emission rate is transferred automatically to the U/M Form. Step 4: Calculate NOx and CO Emissions from Combustion. Products of combustion, namely NOx and CO are calculated using AP-42 emission factors for flares. Specifically, the factors are taken from AP-42 Table 13.5-1, 4/15. Example calculations: NOx Factor = 0.068 lb/mmbtu CO Factor = 0.31 lb/mmbtu Lower Heat Value of Gas = 1305 btu/scf (obtained from gas analysis) Mass Emission, lb = AP-42 Factor x LHV x Flared Volume NOx Emission = 0.068 lb/mmbtu x 1305 mmbtu/mmscf x 0.572 mmscf= 50.76 lb CO Emission = 0.31 lb/mmbtu x 1305 mmbtu/mmscf x 0.572 mmscf= 231.41 lb Step 5: Calculate SO2 Emissions from Combustion. SO2 emissions are calculated based on the H2S concentration in the gas stream to be flared. Assumes 100 percent conversion of H2S to SO2. Western’s facilities are all in sweet gas service, therefore, H2S emissions are negligible for any assumed destruction efficiency. Example calculations: H2S Concentration = 0.5 ppm Gas Volume Flared = 572,000 scf Mass Emission =((Flared Volume)(H2S Fraction)/(H2S Ideal Gas Density))(MW SO2/MW H2S) =(572,000 scf)(.5ppm/1,000,000)/(11.14 lb/scf)((64.07lb SO2 /lb-mole)/(34.08 lb H2S /lb-mole)) = 0.05 lb SO2 = 276.19 lb",08/29/2017 11:01AM,08/29/2017 9:01PM,"FROM STANTON, TEXAS: FOLLOW I-20 WEST FOR APPROXIMATELY 5.5 MILES, THEN HEAD NORTH ON COUNTY ROAD 3001/FM829. FOLLOW FM829 FOR APPROXIMATELY 3.5 MILES, THEN TURN LEFT ONTO FM1212. FOLLOW FM1212 FOR APPROXIMATELY 12.2 MILES. THE SITE WILL BE ON THE LEFT.",RN108740143,BUFFALO GAS PLANT,INITIAL REPORT,EMISSIONS EVENT,266428
"The site shut down unit operation on Sunday, 8/27/17, and brought temporary storage on site to provide extra water storage capacity. The site also started trucking waste water off site the week before landfall in an attempt to maximize water storage capacity.","Due to unprecedented rainfall associated with Hurricane Harvey, the site has not been able to contain contaminated storm water/process waste water. The site shut down unit operation on Sunday, 8/27/17, and brought temporary storage on site to provide extra water storage capacity. The site also started trucking waste water off site the week before landfall in an attempt to maximize water storage capacity. Despite all of these efforts, the tanks reached maximum capacity and overflowed to the diked containment area. The diked containment area then overflowed to the ground.","BEAUMONT, JEFFERSON",Estimates based on visual observation. Waste water will continue to overflow to the ground until the rain stops.,08/29/2017 10:53PM,08/30/2017 10:53PM,,RN100634922,BASF BEAUMONT AGRO PLANT,INITIAL REPORT,EMISSIONS EVENT,266429
Work rescheduled as a result of hurricane delays.,Scheduled event has been postponed.,"TILDEN, MCMULLEN","Engineering calculations and process knowledge. The total amount of gas routed to the flare: 0 mcf. The gas composition routed to the (F-1) Flare in (Mole%) 0.018% N2, 73.366% CO2, 24% H2S, 0.837% C1, 0.739% C2, 0.372% C3, 0.05% IC4, 0.146% NC4, 0.051% IC5, 0.063% NC5 and 0.358% NC6 Calculations are based on the following: lbs emitted =(mcf of gas) * (mole fraction of H2S - 0.34) * 1000 * (mole fraction of SO2 - 64.07) / API's standard moles per cubic foot - 379.49) *(conversion factor for H2S to SO2 - 0.98).",09/11/2017 8:00AM,09/11/2017 4:00PM,FROM INTERSECTION OF STATE HWY 72 AND HWY 16 GO 4.0 MILES SOUTH ON HWY 16 THEN TURN EAST ON PRIVATE RD WITH REGENCY SIGN,RN100216621,TILDEN GAS PLANT,FINAL REPORT,MAINTENANCE,266431
,BWN issued on: 8/11/2017 BWN issued due to: Water main break and loss of pressure Location of Incident: Area Effected: Entire PWS BWN rescinded on: 8/16/2017,", BELL",,08/11/2017,08/16/2017,,RN101383909,CITY OF ROGERS,FINAL REPORT,BOIL WATER NOTICE (BWN),266444
,"A manhole located in Mackenzie Park along the park road, under the 4th Street overpass, surcharged and overflowed. The overflow flowed across the park road, down a drainage ditch and into the creek. Approximately 5000 gallons overflowed. Collections used a vacuum truck to remove water in low spots. This manhole is on the trunkline that the City of Lubbock is currently rehabilitating. This project should be completed in 2018 and should correct the problems associated with the trunkline. In the short term, the city will try installing a manhole lid that can be bolted shut.","LUBBOCK, LUBBOCK",,08/26/2017 5:15PM,08/26/2017 7:15PM,EASTERN TERMINUS OF E 38TH ST APPROX 1 MI NW OF INTXN OF LOOP 289 AND FM 835,RN101609949,SOUTHEAST WATER RECLAMATION PLANT,FINAL REPORT,WASTEWATER BYPASS,266446
"Flaring stopped once the field gas pressures were decreased to normal operating parameters for the plant. The site's flare was maintained in constant operation during this event, flare pilots were monitored and no bypassing of the control device occurred.",Inlet gas was flared due to an increase in field gas flowing into the site above site treating rate. Excess gas was relieved to the flare until gas flow rates were stabilized into the plant.,"BIG LAKE, REAGAN","Flaring emissions based upon metered gas volume, gas analysis and event duration. Calculations based upon TCEQ guidance document known as RG-109.",08/29/2017 11:47PM,08/30/2017 6:19PM,6 MI EAST OF BIG LAKE ON US 67 THEN 1 MILE SOUTH,RN100217686,BIG LAKE TREATING FACILITY,FINAL REPORT,EMISSIONS EVENT,266448
The flare was re-lit as soon as safely possible.,"Heavy rain and wind from Hurricane Harvey extinguished the VA-5 Flare flame for 2.65 hours, resulting in the release of ethylene and VOC's through VA5's flare stack.","TEXAS CITY, GALVESTON",Engineering calculations and monitoring system data.,08/29/2017 2:33PM,08/29/2017 5:12PM,KEY MAP 737M,RN100219351,UNION CARBIDE TEXAS CITY,FINAL REPORT,EMISSIONS EVENT,266454
,BWN issued on: 08/28/2017 BWN issued due to: Low Pressure Location of Incident: unknown Area affected: entire PWS Corrective measures: PWS to normal parameters & negative bacteriological samples. BWN rescinded on:,", POLK","PDW notified of a BWN from John Sexton, Manager, on August 28, 2017",08/28/2017,12/31/3000,SALLY STREET NUGENTS COVE SUBDIVISION,RN101259539,NUGENTS COVE WATER SYSTEM LL,INITIAL REPORT,BOIL WATER NOTICE (BWN),266455
