Action taken,Cause,"City, County",Emissions estimation method,Event began,Event ended,Physical location,Regulated entity RN number,Regulated entity name,This is based on the,Type(s) of air emissions event,report_id
Flare minimization was utilized to prevent excess flaring.,Controlled start up resulting in excess emissions. The start up was due to an emissions event which started on December 22nd at 9:00 am.,"LA PORTE, HARRIS","Process knowledge, process data, and engineering calculations.",12/23/2015 2:00AM,12/24/2015 9:00AM,APPROXIMATELY 1 MILE NORTH OF HIGHWAY 225 ON MILLER CUT OFF RD,RN100210319,EQUISTAR CHEMICALS LA PORTE COMPLEX,FINAL REPORT,EMISSIONS EVENT,224950
"The line was depressurized, then purged with nitrogen and removed from service.The gasket was replaced and pressure tested, then the line was returned to service.","A flange gasket failed, causing the release of crude butadiene. This release resulted in emissions of 1,3 butadiene to the atmosphere greater than the 10 lb reportable quantity.","HOUSTON, HARRIS",Engineering calculations (pipe flow),12/23/2015 1:16PM,12/23/2015 2:15PM,,RN100219526,HOUSTON PLANT,FINAL REPORT,EMISSIONS EVENT,224952
Interlocks were tripped stopping reactor feed and catalyst feed to the reactor as designed. The remaining reactor inventory was purged to the flare to minimize emissions.,The decomp can be attributed to flashing the first jacket water zone. Inadequate cooling in the reactor allowed for a hot spot which caused a decomp. The reactor interlocks activated as designed and vented the reactor to the atmosphere. The flow meter for the control loop was calibrated and jacket water flows returned to normal.,"LA PORTE, HARRIS","Process knowledge, process data and engineering calculations",12/26/2015 2:33AM,12/26/2015 1:33PM,APPROXIMATELY 1 MILE NORTH OF HIGHWAY 225 ON MILLER CUT OFF RD,RN100210319,EQUISTAR CHEMICALS LA PORTE COMPLEX,FINAL REPORT,EMISSIONS EVENT,224956
Interlocks were tripped stopping reactor feed and catalyst feed to the reactor as designed. The remaining reactor inventory was purged to the flare to minimize emissions.,The decomp can be attributed to impurities in the recycle VAM. The reactor interlocks activated as designed and vented the reactor to the atmosphere. The impurity is likely breaking down in the reactor and initiating additional reaction. The unit removed all contaminated VAM.,"LA PORTE, HARRIS","Process knowledge, process data and engineering calculations",12/28/2015 9:17AM,12/28/2015 2:10PM,APPROXIMATELY 1 MILE NORTH OF HIGHWAY 225 ON MILLER CUT OFF RD,RN100210319,EQUISTAR CHEMICALS LA PORTE COMPLEX,FINAL REPORT,EMISSIONS EVENT,225030
Emissions originated from the piping clearing. Emissions were routed to the High Pressure flare.,Propylene piping was cleared for maintenance activity.,"FREEPORT, BRAZORIA",Actual quantities are from Gas Chromatograph data recorded during the clearing operation. NOx and CO calculated based on emission factors.,01/11/2016 3:00PM,01/15/2016 8:00AM,,RN100225945,DOW TEXAS OPERATIONS FREEPORT,FINAL REPORT,MAINTENANCE,225138
Followed start up procedure to resume normal operations as safely as possible and minimize emission.,Unit upset caused a trip of the FCC unit.,"PASADENA, HARRIS","Engineering estimates for ESP stack and emissions calculations using flare flow measurements, and analyzer data for the flare emissions. Particulate Matter (PM) from the ESP stack exceeded the Reportable Quantity (RQ) of 100 pounds for unlisted compounds.",01/02/2016 4:16AM,01/02/2016 8:00AM,111 RED BLUFF RD,RN100716661,PASADENA REFINING SYSTEM,FINAL REPORT,EMISSIONS EVENT,225224
"Operations worked to restore flow only being able to do so intermittently. Filters were plugging immediately upon changing, but operations continued to change the filters in an effort to restore flow. Pressure was increased on the NH3 supply pump regulator and stabilized flow to 1B505.",EB-1B-505 exceeded its permitted limits for NOx beyond the RQ of 200lbs in a 24 hour period starting at 12:03 am on 1/3/2016. A gasket failure occurred at the ammonia injection skid at approximately 9:01 pm on 1/2/2016. The 24 hour RQ reporting period ended at 9:00 pm on 1/3/2016.,"HOUSTON, HARRIS",CEMS units were in continuous operation to monitor emissions from DH-2 Heat Recovery Boiler EB-1B-505. A root cause analysis began on 1/6/2016 to address all aspects of NOx controls on EB-1B-505.,01/03/2016 12:03AM,01/03/2016 10:00PM,,RN100219526,HOUSTON PLANT,FINAL REPORT,EMISSIONS EVENT,225229
Operations took appropriate actions to stabilize the unit and return it to normal operation.,Olefins unit process upset.,"CHANNELVIEW, HARRIS","The emissions totals were determined using flow and analyzer data. The Olefins Flare is an authorized point, but these emissions were determined to be unauthorized. The reportable quantities for Ethylene and Propylene were exceeded from this event.",01/06/2016 2:32PM,01/06/2016 7:00PM,APPROX 1 MI N OF SHELDON RD & WALLSVILLE RD INTXN KEY MAP - 458K,RN100542281,EQUISTAR CHEMICALS CHANNELVIEW COMPLEX,FINAL REPORT,EMISSIONS EVENT,225541
The South Plant Flare (FL-1) was maintained and operated to mitigate emissions.,The Seminole Fractionator was shutdown and equipment depressured to the South Plant Flare (FL-1) to facilitate repair of unit components.,"MONT BELVIEU, CHAMBERS","The emissions in this report are based on measured data, engineering calculations, and TCEQ-approved methodologies.",01/06/2016 2:50PM,01/08/2016 6:00AM,,RN102323268,ENTERPRISE MONT BELVIEU COMPLEX,FINAL REPORT,EMISSIONS EVENT,225549
"The following actions were performed to minimize emissions. Immediately after the rupture disc opened, the process was automatically shutdown. The process equipment relieved to the atmosphere within approximately 3 minutes. After the unit was shut down, UCC replaced the failed disc with a new replacement. In addition, UCC replaced a second rupture disc that did not fail. After the rupture discs were replaced, the unit was restarted and has run without incident. UCC has a maintenance strategy to inspect this rupture disc on a 5 year frequency. The rupture disc was inspected during a turnaround in 2014. The inspection indicated the rupture disc integrity was good.","A rupture disc (process safety equipment) opened to the atmosphere. The rupture disc is on the reaction cycle gas feed heat exchanger. Process data indicates the pressure of the process did not exceed the rupture disc rating. UCC has started the investigation of this event. Based on current information available, UCC believes that the rupture disc failed because of weakness cause by age. Also, as a secondary cause, UCC believes that the rain may have infiltrated the rupture disc housing causing thermal shock which could have caused the failure. The rupture disc was sent out for additional evaluations to better understand the cause(s) of the rupture disc failure. UCC will use the information to finalize the cause(s) and implement strategies to prevent.","SEADRIFT, CALHOUN","Engineering calculations were performed to estimate the emissions. Specifically, system volume calculations were used.UCC has reviewed the affirmative defense criteria. As indicated above, UCC is in the process of gathering additional information on this event by sending the rupture disc out for additional evaluations.",01/06/2016 8:20PM,01/06/2016 10:50PM,,RN102181526,UCC SEADRIFT OPERATIONS,FINAL REPORT,EMISSIONS EVENT,225562
Emissions for pipeline clearing were routed to a flare.,Propane pipeline was cleared for inspection and maintenance.,"FREEPORT, BRAZORIA",Flare emissions estimated based on flare flows and composition. NOx and CO calculated based on emission factors.,01/18/2016 1:30PM,01/22/2016 1:31PM,,RN100225945,DOW TEXAS OPERATIONS FREEPORT,FINAL REPORT,MAINTENANCE,225576
"The Port Arthur Refinery implemented severe steam shedding procedures outlined in the “600 Psig Steam System Shortage Guidelines” including the Delayed Coking Unit Wet Gas Compressor, Sulfolane Unit, Benzene/Toluene/Xylene Unit, Toluene Disproportionation Unit, Condensate Splitter, Atmospheric Crude Unit 1, Naphtha Hydrotreater Pre-heater, Naphtha Stabilizer, and Alkylation Unit. The Delayed Coking Unit Wet Gas Compressor eventually restarted, ending the event.","The Cogeneration Unit tripped during a heavy rain and lightning event. BTP (BASF/Total Petrochemical), a steam supplier for the Port Arthur Refinery, had already reduced the 600 psia steam to the refinery prior to the incident. Despite the rain event, incident appears to have been caused by a bad exhaust thermocouple. The incident resulted in a shutdown at the Cogeneration Unit, followed by a shutdown at the H-350 Boiler. The emissions from the event were sent to the Flare Header System, which became overwhelmed and routed the process gases to the South, East, and North flares for destruction.","PORT ARTHUR, JEFFERSON",On-line Process Data and Engineering Calculations.,01/08/2016 10:00PM,01/09/2016 5:33AM,INTX OF HWY 366 & 32 ST,RN102457520,TOTAL PETRO CHEMICALS & REFINING USA PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,225669
"Operations personnel attempted to restart the compressor. The trip-and-throttle (T&T) valve would not reset even through all shutdown conditions were cleared. As engineers and technicians were summoned to the plant, operations personnel followed established procedures to safe the unit and work to reduce emissions as much as possible. Once the problem preventing the T&T from resetting was resolved, the compressors controls were reset and it was restarted. Oil feed was returned to the process unit as quickly as possible after all phases of the compressor’s operation were checked and approved to prevent further mechanical issues.THE OVERALL FLARING DURATION WAS NOT CONTINUOUS.","At 9:45 am on 1/9/2016 the Wet Gas Compressor (C-101) shutdown, resulting in immediate hydrocarbon flaring from the process unit.","OLD OCEAN, BRAZORIA","CEMS data, COMS data, and engineering calculations",01/09/2016 9:45AM,01/10/2016 2:45PM,BRAZORIA & MATAGORDA COUNTIES,RN101619179,SWEENY REFINERY,FINAL REPORT,EMISSIONS EVENT,225672
Shut-down Plant as quickly as possible. Flare was used to minimize emissions.,Unauthorized emissions from reactor effluent compressor trip due to high thrust and subsequent maintenance activities.,"FREEPORT, BRAZORIA","Flare Flow meters, Flare analyzers and AP-42 calculations",01/10/2016 11:00AM,01/19/2016 5:00PM,,RN100225945,DOW TEXAS OPERATIONS FREEPORT,FINAL REPORT,EMISSIONS EVENT,225702
"TMPA reviews opacity events, such as this, in an effort to improve procedures that will minimize opacity events related to start-up, shutdown, and maintenance. Flue gas is routed through a functioning scrubber tower whenever fans are running. Because the scrubber is known to be an effective particulate removal device, TMPA believes that its use during these times will minimize if not eliminate ""actual"" opacity exceedances. TMPA will energize the ESP in accordance with TMPA's standard shutdown and start-up procedures.","On 1/8/16 at approximately 1030 hours Central Standard Time (CST) the TMPA Gibbons Creek unit experienced an unplanned boiler trip. Because the unit trip was unplanned the definitions and provisions contained in TMPA's Maintenance, Start-up and Shutdown (MSS) permit for a shutdown do not apply. Therefore, an initial report needs to be filed for the resulting apparent opacity exceedance(s). Also, 10 day advance notice was not possible because the unit trip was not planned. On the night of 1/7-8/16 TMPA had operated at minimum sustainable load. During the morning of 1/8/16 the ERCOT price of electricity had been cycling above and below the units strike price which triggers Gibbons Creek to move to full load. This ERCOT price cycling meant that Gibbons Creek was load following (cycling) in attempt to follow the ERCOT needs. To accomplish this cycling TMPA staff had to regularly switch on and off various coal mills to produce the electricity. The trip was caused by an oxygen concentration drop in the boiler flue gas which led the operator to choose to initiate an emergency shutdown. Choosing to initiate the emergency shutdown minimized the risk of damage to the unit that could have resulted from a furnace explosion or sudden shutdown triggered by the boiler control system logic. Fire was restored to the boiler by 1050 hours which ended the shutdown and began start-up. Immediately after the boiler trip, the electrostatic precipitator (ESP) was taken out of service until a purge of combustible gasses could be completed to protect the equipment and for personnel safety. The ESP captures dust emissions before dust exits the stack. The wet scrubber remained in service throughout the outage and was removing particulates from flue gas downstream of the continuous opacity monitor (COM). The ESP was restored to service immediately following the purge. While the ESP was out of service two (2) consecutive apparent reportable exceedances of the opacity standard were recorded by the continuous opacity monitors (COM) in the ducts beginning at 1036 hours (80.1 and 28.1). Two other apparent non-reportable exceedances occurred during start-up, one beginning at 1100 hours (22.7) and one beginning at 1112 hours (20.2). Note: This report was originally submitted by e-mail to Lori Farr of the TCEQ Waco office at 09:37 am on 01/09. Direct submittal via STEERS at that time was not possible because I was locked out of my STEERS account.","CARLOS, GRIMES","The Continuous Emissions Monitoring System (CEMS), the Continuous Opacity Monitoring System (COMS), manual opacity readings, and the Distributed Control System (DCS) are used to determine emission quantities. All Data Acquisition Handling System (DAHS) data is provided on CST basis as directed by EPA Region 6. Operational time is also reported in CST. At this time of year all time is in CST so no conversion is necessary.",01/08/2016 10:30AM,01/08/2016 10:50AM,FM 244 2.5 MI N OF HWY 30,RN100214550,GIBBONS CREEK STEAM ELECTRIC STATION,INITIAL REPORT,EXCESS OPACITY,225709
Rupture disc and actuator were replaced,Actuator solenoid failed which caused rupture disc to relieve,"FREEPORT, BRAZORIA",Engineering estimate,01/10/2016 12:30PM,01/11/2016 6:00AM,,RN108772245,BLUE CUBE OPERATIONS FREEPORT,FINAL REPORT,EMISSIONS EVENT,225717
"SRU2 feed from Amine and Sour Water Stripper Units was stopped, feed to SRU1 was increased, and SRU2 was returned to operation as quickly as possible utilizing the steam turbine driven air blower that shut down earlier.",The SRU2 unit shutdown as a result of a thermal reactor steam turbine driven air blower trip. The #2 SRU Tail Gas Treater subsequently tripped. Also the #2 SRU Incinerator later tripped.,"CORPUS CHRISTI, NUECES",Calculations were based on data from the process units and engineering design information. Calculations were based on data from the process units and engineering design information.,01/12/2016 2:22AM,01/12/2016 6:00AM,1300 CANTWELL LANE,RN100211663,VALERO CORPUS CHRISTI REFINERY EAST PLANT,FINAL REPORT,EMISSIONS EVENT,225866
Operations shutdown the reactor to isolate the affected section of pipe.,"On 1/15/2016 around 4:00AM, it was discovered that naphtha was leaking from the outlet line on the HDU-2 lead reactor. The reactor was isolated on 1/16/2016 at 9:00AM. The total estimated emissions are as follows: Benzene - 9lbs, Butane - 84lbs, C10 Aromatics - 43lbs, C10 Paraffins - 79lbs, C11 Paraffins - 9lbs, C6 Paraffins - 144lbs, C7 Naphthenes - 46lbs, C7 Paraffins - 90lbs, C8 Aromatics - 29lbs, C8 Naphthenes - 56lbs, C8 Paraffins - 94lbs, C9 Aromatics - 30lbs, C9 Naphthenes - 37lbs, C9 Paraffins - 90lbs, Carbon dioxide - 1lbs, Cyclopentane - 8lbs, Ethane - 205lbs, Hydrogen - 127lbs, Hydrogen sulfide - 63lbs,Iisobutane - 26lbs, Isopentane - 101lbs, Methane - 64lbs, Methylcyclopentane - 22lbs, Pentane - 104lbs, Propane - 75lbs, Toluene - 20lbs, Trans-2-pentene - 1lbs. There was no reportable quantity exceeded during this emission event. Based on the information known at the time of this report, Shell is not aware of any confirming information that would indicate that the affirmative defense criteria could not be met for this emission event. However, because the investigation of the emission event has not yet been completed, Shell's ""Yes"" response to the affirmative defense question below may not represent a final response for determining application of the affirmative defense. The indicated response to the question was required for purposes of completing and submitting this initial report in a timely manner. Additional information regarding the basis for Shell's response to the affirmative defense question may be provided upon request when available.","DEER PARK, HARRIS",Perry's 8th Edition - Section 6 Flow Through an Orifice Calculations (Equations 6-118 and 6-122). Process engineering simulations. Temperature and Pressure Indications. Pressure Equipment Integrity inspections.,01/15/2016 4:00AM,01/16/2016 9:00AM,,RN100211879,SHELL OIL DEER PARK,FINAL REPORT,EMISSIONS EVENT,226070
Standard operating procedures was followed to restart the compressor in a manner that minimized the duration of the event and the associated flaring emissions.,"At approximately 11:10 PM on January 14th, Ethylene compressors at Ethylene Unit 24 shutdown unexpectedly due to low pressure on the lube oil pump.","OLD OCEAN, BRAZORIA","Emissions calculations are based on data gathered from continous flare gas compostion analyzers, flow meters, emission factors and engineering estimates.",01/14/2016 11:15PM,01/15/2016 3:40PM,,RN100825249,CHEVRON PHILLIPS CHEMICAL SWEENY OLD OCEAN FACILITIES,FINAL REPORT,EMISSIONS EVENT,226072
"The charge to the unit was immediately reduced and the process gas was transferred to the other Sulfur Recovery Units. The incident required the Port Arthur Refinery to implement a shutdown of Sulfur Recovery Unit 5 (EPN 36SRUINCIN), the Shell Claus Off-gas Treating 5 Unit, and Tailgas Thermal Oxidizer 5.",A Flue Gas Duct was found to be hot in the area of 36E691 between the Steam Drum and Mud Drum at Sulfur Recovery Unit No. 5. A temperature gun confirmed that the carbon steel duct was very hot (1250 degrees). Personnel determined that the unit developed a hot spot in the Flue Gas Duct due to a failure of the refractory brick at that location.,"PORT ARTHUR, JEFFERSON",On-line process data and engineering calculations.,01/17/2016 4:07AM,01/17/2016 9:34AM,INTX OF HWY 366 & 32 ST,RN102457520,TOTAL PETRO CHEMICALS & REFINING USA PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,226093
Started-up Plant as quickly as possible.,Start-up plant after compressor trip (STEERS# 225702),"FREEPORT, BRAZORIA",Process knowledge/ emission calculation from previous start-up.,01/19/2016 5:00PM,01/23/2016 2:00PM,,RN100225945,DOW TEXAS OPERATIONS FREEPORT,FINAL REPORT,EMISSIONS EVENT,226100
*** NOTE THIS EVENT WAS NON-REPORTABLE WITHIN ANY 24 HOUR PERIOD *** The source of the leak was investigated and identified as exchanger 107-E-29. The exchanger was isolated from the cooling tower and repaired.,"*** NOTE THIS EVENT WAS NON-REPORTABLE WITHIN ANY 24 HOUR PERIOD *** A leak was discovered at the Complex 7 Main Cooling Tower, resulting in VOC emissions.","CORPUS CHRISTI, NUECES","Calculations were based on monitoring data, engineering data, and unit process data.",01/18/2016 2:45PM,01/28/2016 1:26PM,1300 CANTWELL LANE,RN100211663,VALERO CORPUS CHRISTI REFINERY EAST PLANT,FINAL REPORT,EMISSIONS EVENT,226147
Follow Standard Operating Procedures in event there is a power interruption. This planned activity did not occur due to scheduling conflicts.,"Installation of replacement electrical breakers. Installation of the replacement of electrical breakers, that was delayed due to weather until 01/27/2016. This planned activity did not occur due to scheduling conflicts.","PORT ARTHUR, JEFFERSON","Listed emissions are potential, based on a previous event. On 01/26/2016, the investigator received an email notification requesting the start date for this maintenance activity to be changed to 01/27/2016 instead of the initially proposed 01/26/2016 maintenance start date. The facility requested the change due to weather conditions on 01/26/2016. This planned activity did not occur due to scheduling conflicts, therefore no emissions were generated.",01/26/2016 8:00AM,01/27/2016 8:00AM,WEST OF PORT ARTHUR TEXAS ON STATE HWY 87 TOWARD SABINE PASS,RN100209857,CHEVRON PHILLIPS CHEMICAL PORT ARTHUR FACILITY,FINAL REPORT,MAINTENANCE,226341
Power has been restored and facility is working to resume normal operations.,Site wide power loss from an external source resulted in flaring.,"BEAUMONT, JEFFERSON",Engineering estimates.,01/21/2016 2:23PM,01/24/2016 9:55AM,,RN102450756,EXXONMOBIL BEAUMONT REFINERY,FINAL REPORT,EMISSIONS EVENT,226427
Process streams were routed to the LOU Flare for destruction.,"On January 22, 2016 at approximately 13:15 hours, Flint Hills Resources Port Arthur, LLC Port Arthur Chemicals facility (FHR). initiated shutting down certain process units at its PAC facility due to a loss of boiler feed water supply. The LOU was shutdown and process material was routed to the LOU Flare for destruction. During this event, the LOU Flare was observed to have smoked intermittently. Note that a separate State of Texas Environmental Electronic Reporting System (STEERS) report was made for the startup of the LOU (STEERS Report 226470).","PORT ARTHUR, JEFFERSON","Emissions estimates are based on engineering estimate and judgment, stream speciation, flare flow rate, estimated duration, and engineering calculations. Emissions of benzene and 1,3-butadiene are estimated to have exceeded federal and state reportable quantities (RQ) over a 24 hour period and the duration of the event. Emissions of nitrogen oxides are estimated to have exceeded state RQs over a 24 hour period and the state and federal RQ over the duration of the event. Emissions of ethylene and carbon monoxide are estimated to have exceeded a state RQ over the duration of the event. Note that at the time of the Initial STEERS Report, formal emissions estimates were not available. FHR stated in the report that, “All amounts released, listed in this report, are preliminary estimates of the potential emissions. These estimates may or may not be indicative of the actual amounts or compounds released. It is likely that better emissions estimates will be provided in the Final State of Texas Environmental Electronic Reporting System (STEERS) Report.” By way of clarification, at the time of the Initial STEERS report, FHR utilized available information, engineering experience and judgment, and engineering calculations to identify the substances FHR anticipated could experience a release of an amount that might exceed an RQ.Based on information known to FHR, the release began on January 22, 2016 at about 13:15 hours. The release ended on January 25, 2016 at about 13:18 hours. For the purpose of this report, the duration for this event was approximately 72 hours and 3 minutes. The Initial STEERS Report was entered as soon as practicable, but not later than 24 hours after the discovery of an emissions event as per § 101.201(a)(1)(A). In accordance to applicable regulations and guidelines, the National Response Center (NRC), Texas State Emergency Response Commission (SERC), and the Local Emergency Planning Commission (LEPC) were notified. NRC# 1138704 01/22/2016, 14:13 hours – Keith Weatherly (Subsequent NRC #s 1138787, 1138822) SERC# 20160228 01/22/2016, 14:20 hours – Terri",01/22/2016 1:15PM,01/25/2016 1:18PM,SAVANNAH AVENUE AT GATE 24,RN100217389,FLINT HILLS RESOURCES PORT ARTHUR FACILITY,FINAL REPORT,EMISSIONS EVENT,226469
"In order to minimize flaring emissions, FHR utilized pre-existing startup procedures and sent process material to the LOU Flare for destruction during the startup.","On January 22, 2016 at approximately 13:15 hours, an upset event occurred at the Light Olefins Unit (LOU) at Flint Hills Resources Port Arthur, LLC Port Arthur Chemicals facility (FHR). As a result of the upset , the LOU was shutdown and process material was routed to the LOU Flare for destruction. Initial State of Texas Environmental Electronic Reporting System (STEERS) Report 226469 was entered for the emissions event / shutdown. This notification is provided for the planned subsequent start-up of the LOU.","PORT ARTHUR, JEFFERSON","Emissions estimates are based on engineering estimate and judgment, stream speciation, flare flow rate, estimated duration, and engineering calculations. Emissions of benzene and 1,3-butadiene are estimated to have exceeded federal and state reportable quantities (RQ).Note that at the time of the Initial STEERS Report, formal emissions estimates were not available. FHR stated in the report that, “All amounts released, listed in this report, are preliminary estimates of the potential emissions. These estimates may or may not be indicative of the actual amounts or compounds released. It is likely that better emissions estimates will be provided in the Final State of Texas Environmental Electronic Reporting System (STEERS) Report.” By way of clarification, at the time of the Initial STEERS report, FHR utilized available information, engineering experience and judgment, and engineering calculations to identify the substances FHR anticipated could experience a release of an amount that might exceed an RQ.Based on information known to FHR, the release began on January 25, 2016 at approximately 13:18 hours. The release ended on January 26, 2016 at approximately 11:40 hours. For the purpose of this report, the duration for this event was approximately 22 hours and 22 minutes. This notification was not filed more than 10 days prior to the planned startup event, however, the notice was filed as soon as practicable, in accordance with 30 TAC §101.211(a). In accordance to applicable regulations and guidelines, the National Response Center (NRC), Texas State Emergency Response Commission (SERC), and the Local Emergency Planning Commission (LEPC) were notified. NRC# 1138913 01/25/2016, 14:15 hours –P.O. Dias SERC# 20160228 01/25/2016, 14:22 hours – Terri",01/25/2016 1:18PM,01/26/2016 11:40AM,SAVANNAH AVENUE AT GATE 24,RN100217389,FLINT HILLS RESOURCES PORT ARTHUR FACILITY,FINAL REPORT,AIR STARTUP,226470
Plant was immediately shut down,High pressure emergency venting shutdown due to let-down valve malfunction,"FREEPORT, BRAZORIA",Engineering calculations,01/23/2016 5:21AM,01/23/2016 5:22AM,,RN100225945,DOW TEXAS OPERATIONS FREEPORT,FINAL REPORT,EMISSIONS EVENT,226473
The controls were put in manual to adjust gas and air ratios and stop the opacity event.,Boiler 9 was undergoing some maintenance work on its O2 analyzer. It began having some control issues which caused the boiler's dampener to close resulting in low O2 and opacity.,"HOUSTON, HARRIS",Permit 46426 Special Condition 4 specifies the opacity limit for Boiler 9 is 5% averaged over a six-minute period. The opacity peaked at a 50% average during one six minute observation period. The opacity event was not checked in the initial notification. This event should have been closed with that entry.,01/22/2016 2:30PM,01/22/2016 2:50PM,,RN100219526,HOUSTON PLANT,FINAL REPORT,EMISSIONS EVENT,226474
The facility took immediate corrective actions upon discovery and began to remediate the area.,The Port Arthur Refinery experienced a loss of primary containment to the ground due to a flange leak on a gas oil line.,"PORT ARTHUR, JEFFERSON",Process engineering calculations.,01/23/2016 12:30PM,01/24/2016 3:30AM,,RN100209451,PORT ARTHUR REFINERY,FINAL REPORT,EMISSIONS EVENT,226478
"TMPA reviews opacity events, such as this, in an effort to improve procedures that will minimize opacity events related to start-up, shutdown, and maintenance. Flue gas is routed through a functioning scrubber tower whenever fans are running. Because the scrubber is known to be an effective particulate removal device, TMPA believes that its use during these times will minimize if not eliminate ""actual"" opacity exceedances.","On 1/25/16 at approximately 2144 hours Central Standard Time (CST) the TMPA Gibbons Creek unit experienced an unplanned boiler trip which initiated a shutdown. Because the unit trip was unplanned the definitions and provisions contained in TMPA's Maintenance, Start-up and Shutdown (MSS) permit for a shutdown do not apply. Therefore, an initial report needs to be filed for the resulting apparent opacity exceedance(s). Also, 10 day advance notice was not possible because the unit trip was not planned. The trip was caused by an impending loss of control of the unit. The imminent control logic-forced trip was caused by a loss of dry instrument air in the control system. Air flow from the air dyer had stopped which led the operator to choose to initiate an emergency shutdown. Choosing to initiate the emergency shutdown minimized the risk of damage to the unit that could have resulted from a loss of control. Immediately after the boiler trip, the electrostatic precipitator (ESP) was taken out of service until a purge of combustible gasses could be completed to protect the equipment and for personnel safety. The ESP captures dust emissions before dust exits the stack. The wet scrubber remained in service throughout the outage and was removing particulates from flue gas downstream of the continuous opacity monitor (COM). Fire was restored to the boiler by 2253 hours which ended the shutdown and began start-up. During the shutdown one (1) apparent reportable exceedance of the opacity standard was recorded by the continuous opacity monitors (COM) in the ducts beginning at 2154 hours (74.9). Two other apparent non-reportable exceedances occurred during shutdown, one beginning at 2148 hours (32.9) and one beginning at 2200 hours (31.9).","CARLOS, GRIMES","The Continuous Emissions Monitoring System (CEMS), the Continuous Opacity Monitoring System (COMS), manual opacity readings, and the Distributed Control System (DCS) are used to determine emission quantities. All Data Acquisition Handling System (DAHS) data is provided on CST basis as directed by EPA Region 6. Operational time is also reported in CST. At this time of year all time is in CST so no conversion is necessary.",01/25/2016 9:44PM,01/25/2016 10:57PM,FM 244 2.5 MI N OF HWY 30,RN100214550,GIBBONS CREEK STEAM ELECTRIC STATION,INITIAL REPORT,EXCESS OPACITY,226635
"TMPA reviews opacity events, such as this, in an effort to improve procedures that will minimize opacity events related to start-up, shutdown, and maintenance. Flue gas is routed through a functioning scrubber tower whenever fans are running. Because the scrubber is known to be an effective particulate removal device, TMPA believes that its use during these times will minimize if not eliminate ""actual"" opacity exceedances.","On 1/25/16 at approximately 2253 hours Central Standard Time (CST) the TMPA Gibbons Creek unit initiated a start-up following an unplanned boiler trip. Because the unit trip was unplanned the definitions and provisions contained in TMPA's Maintenance, Start-up and Shutdown (MSS) permit for a start-up may not apply. Therefore, an initial report needs to be filed for the resulting apparent opacity exceedance(s). A gas fire was restored in the boiler at 2253 hours. Shortly thereafter the Primary Air fans were restarted which disturbed the air flow and resulted in four (4) apparent reportable exceedances of the opacity standard being recorded by the continuous opacity monitors (COM) in the ducts. The first began at 2312 hours (46), the next two were consecutive beginning at 2324 hours (56.7, 58.0) and the last began at 2354 hours (35.9). Coal was re-introduced to the boiler beginning at 0015 hours on 1/26/16 which led to eight (8) additional reportable opacity exceedances. These exceedances occurred consecutively beginning at 0018 hours (53.2, 50.7, 68.5, 70.6, 71.3, 70.8, 72.7, and 52.7). At 0056 hours the electrostatic precipitator was restored to service. At 0415 hours the TMPA Gibbons Creek unit had been operating at its Lowest Sustainable Load for one hour which ended the start-up period.","CARLOS, GRIMES","The Continuous Emissions Monitoring System (CEMS), the Continuous Opacity Monitoring System (COMS), manual opacity readings, and the Distributed Control System (DCS) are used to determine emission quantities. All Data Acquisition Handling System (DAHS) data is provided on CST basis as directed by EPA Region 6. Operational time is also reported in CST. At this time of year all time is in CST so no conversion is necessary.",01/25/2016 10:53PM,01/26/2016 4:15AM,FM 244 2.5 MI N OF HWY 30,RN100214550,GIBBONS CREEK STEAM ELECTRIC STATION,INITIAL REPORT,EXCESS OPACITY,226636
Interlocks were tripped stopping reactor feed and catalyst feed to the reactor as designed.,The AB3 reactor underwent a decomp. The decomp can be attributed to impurities in the recycle VAM. The impurity contributing to the decomp was believed to be Acetic Acid and the Acetic Acid concentration was below the upper limit expected to cause a decomp. The reactor interlocks activated as designed and vented the reactor to the atmosphere.,"LA PORTE, HARRIS","Process knowledge, process data and engineering calculations",01/27/2016 3:09AM,01/27/2016 9:00PM,APPROXIMATELY 1 MILE NORTH OF HIGHWAY 225 ON MILLER CUT OFF RD,RN100210319,EQUISTAR CHEMICALS LA PORTE COMPLEX,FINAL REPORT,EMISSIONS EVENT,226680
Start-up of plant was conducted as quickly as possible.,"Initial plant start-up of the new Propane Dehydrogenation Unit PDH-1. Start-up activities involved dryer regeneration, inventory and stabilizing plant conditions to make on-spec materials.","FREEPORT, BRAZORIA","Flowmeters, Analyzer, AP-42 Emission Factors.",11/01/2015 4:00AM,12/09/2015 8:00AM,,RN100225945,DOW TEXAS OPERATIONS FREEPORT,FINAL REPORT,EMISSIONS EVENT,226831
